timestamp,pageviews
2008-01,9165638462
2008-02,8851706882
2008-03,9198273145
2008-04,9664267850
2008-05,10702906600
2008-06,10868292318
2008-07,9878523450
2008-08,9828624502
2008-09,10642790719
2008-10,11116573408
2008-11,10857396566
2008-12,10834462803
2009-01,11894771437
2009-02,10914947736
2009-03,12444127211
2009-04,11367071043
2009-05,12235434161
2009-06,11526683755
2009-07,11141600262
2009-08,11320270822
2009-09,11895152068
2009-10,12685684107
2009-11,12034271612
2009-12,11026116514
2010-01,12408776831
2010-02,11697478235
2010-03,12621464678
2010-04,15043734823
2010-05,15744647143
2010-06,14397274639
2010-07,13986058704
2010-08,13815596864
2010-09,14113292219
2010-10,14581682452
2010-11,14458046699
2010-12,13850278041
2011-01,15321238374
2011-02,13928844286
2011-03,15081396042
2011-04,13957654264
2011-05,14864505101
2011-06,13934154665
2011-07,13742894627
2011-08,14635194251
2011-09,14966658569
2011-10,16545161261
2011-11,16114747040
2011-12,15346743649
2012-01,16940230694
2012-02,14191344179
