Month,Mobile Web Projection,Zero Projection,Zero Gap,Target
2012/04/01,2089000000,0,,
2012/05/01,1973000000,0,,
2012/06/01,2073000000,1000000,,2073000000
2012/07/01,2125000000,1000000,0000000,2190000000
2012/08/01,2237000000,1000000,1000000,2313000000
2012/09/01,2352000000,1000000,2000000,2443000000
2012/10/01,2388000000,3000000,2000000,2581000000
2012/11/01,2583000000,3000000,4000000,2726000000
2012/12/01,2709000000,3000000,8000000,2880000000
2013/01/01,2833000000,4000000,14000000,3042000000
2013/02/01,2963000000,5000000,24000000,3213000000
2013/03/01,3099000000,7000000,40000000,3394000000
2013/04/01,3241000000,8000000,68000000,3585000000
2013/05/01,3389000000,11000000,112000000,3787000000
2013/06/01,3545000000,14000000,186000000,4000000000
